    x                cos(x)         cos'(x)
      1.81           -0.24           -0.97
      1.82           -0.25           -0.97
      1.83           -0.26           -0.97
      1.84           -0.27           -0.96
      1.85           -0.28           -0.96
      1.86           -0.29           -0.96
      1.87           -0.29           -0.95
      1.88           -0.30           -0.95
      1.89           -0.31           -0.95
      1.90           -0.32           -0.94
      1.91           -0.33           -0.94
      1.92           -0.34           -0.94
      1.93           -0.35           -0.93
      1.94           -0.36           -0.93
      1.95           -0.37           -0.93
      1.96           -0.38           -0.92
      1.97           -0.39           -0.92
      1.98           -0.40           -0.92
      1.99           -0.41           -0.91
      2.00           -0.42           -0.91
      2.01           -0.43           -0.90
      2.02           -0.43           -0.90
      2.03           -0.44           -0.89
      2.04           -0.45           -0.89
      2.05           -0.46           -0.89
      2.06           -0.47           -0.88
      2.07           -0.48           -0.88
      2.08           -0.49           -0.87
      2.09           -0.50           -0.87
      2.10           -0.50           -0.86
      2.11           -0.51           -0.86
      2.12           -0.52           -0.85
      2.13           -0.53           -0.85
      2.14           -0.54           -0.84
      2.15           -0.55           -0.83
      2.16           -0.56           -0.83
      2.17           -0.56           -0.82
      2.18           -0.57           -0.82
      2.19           -0.58           -0.81
      2.20           -0.59           -0.81
      2.21           -0.60           -0.80
      2.22           -0.60           -0.79
      2.23           -0.61           -0.79
      2.24           -0.62           -0.78
      2.25           -0.63           -0.77
      2.26           -0.64           -0.77
      2.27           -0.64           -0.76
      2.28           -0.65           -0.76
      2.29           -0.66           -0.75
      2.30           -0.67           -0.74
      2.31           -0.67           -0.74
      2.32           -0.68           -0.73
      2.33           -0.69           -0.72
      2.34           -0.70           -0.71
      2.35           -0.70           -0.71
      2.36           -0.71           -0.70
      2.37           -0.72           -0.69
      2.38           -0.72           -0.69
      2.39           -0.73           -0.68
      2.40           -0.74           -0.67
      2.41           -0.74           -0.66
      2.42           -0.75           -0.66
      2.43           -0.76           -0.65
      2.44           -0.76           -0.64
      2.45           -0.77           -0.63
      2.46           -0.78           -0.63
      2.47           -0.78           -0.62
      2.48           -0.79           -0.61
      2.49           -0.80           -0.60
      2.50           -0.80           -0.59
      2.51           -0.81           -0.59
      2.52           -0.81           -0.58
      2.53           -0.82           -0.57
      2.54           -0.82           -0.56
      2.55           -0.83           -0.55
      2.56           -0.84           -0.55
      2.57           -0.84           -0.54
      2.58           -0.85           -0.53
      2.59           -0.85           -0.52
      2.60           -0.86           -0.51
      2.61           -0.86           -0.50
      2.62           -0.87           -0.49
      2.63           -0.87           -0.49
      2.64           -0.88           -0.48
      2.65           -0.88           -0.47
      2.66           -0.89           -0.46
      2.67           -0.89           -0.45
      2.68           -0.90           -0.44
      2.69           -0.90           -0.43
      2.70           -0.90           -0.42
      2.71           -0.91           -0.41
      2.72           -0.91           -0.40
      2.73           -0.92           -0.40
      2.74           -0.92           -0.39
      2.75           -0.92           -0.38
      2.76           -0.93           -0.37
      2.77           -0.93           -0.36
      2.78           -0.94           -0.35
      2.79           -0.94           -0.34
      2.80           -0.94           -0.33
      2.81           -0.95           -0.32
      2.82           -0.95           -0.31
      2.83           -0.95           -0.30
      2.84           -0.95           -0.29
      2.85           -0.96           -0.28
      2.86           -0.96           -0.27
      2.87           -0.96           -0.26
      2.88           -0.97           -0.25
      2.89           -0.97           -0.24
      2.90           -0.97           -0.23
      2.91           -0.97           -0.22
      2.92           -0.98           -0.21
      2.93           -0.98           -0.21
      2.94           -0.98           -0.20
      2.95           -0.98           -0.19
      2.96           -0.98           -0.18
      2.97           -0.99           -0.17
      2.98           -0.99           -0.16
      2.99           -0.99           -0.15
      3.00           -0.99           -0.14
      3.01           -0.99           -0.13
      3.02           -0.99           -0.12
      3.03           -0.99           -0.11
      3.04           -0.99           -0.10
      3.05           -1.00           -0.09
      3.06           -1.00           -0.08
      3.07           -1.00           -0.07
      3.08           -1.00           -0.06
      3.09           -1.00           -0.05
      3.10           -1.00           -0.04
      3.11           -1.00           -0.03
      3.12           -1.00           -0.02
      3.13           -1.00           -0.01
      3.14           -1.00            0.00
      3.15           -1.00            0.01
      3.16           -1.00            0.02
      3.17           -1.00            0.03
      3.18           -1.00            0.04
      3.19           -1.00            0.05
      3.20           -1.00            0.06
      3.21           -1.00            0.07
      3.22           -1.00            0.08
      3.23           -1.00            0.09
      3.24           -1.00            0.10
      3.25           -0.99            0.11
      3.26           -0.99            0.12
      3.27           -0.99            0.13
      3.28           -0.99            0.14
      3.29           -0.99            0.15
      3.30           -0.99            0.16
      3.31           -0.99            0.17
      3.32           -0.98            0.18
      3.33           -0.98            0.19
      3.34           -0.98            0.20
      3.35           -0.98            0.21
      3.36           -0.98            0.22
      3.37           -0.97            0.23
      3.38           -0.97            0.24
      3.39           -0.97            0.25
      3.40           -0.97            0.26
      3.41           -0.96            0.27
      3.42           -0.96            0.28
      3.43           -0.96            0.29
      3.44           -0.96            0.30
      3.45           -0.95            0.31
      3.46           -0.95            0.32
      3.47           -0.95            0.33
      3.48           -0.94            0.34
      3.49           -0.94            0.35
      3.50           -0.94            0.36
      3.51           -0.93            0.36
      3.52           -0.93            0.37
      3.53           -0.93            0.38
      3.54           -0.92            0.39
      3.55           -0.92            0.40
      3.56           -0.91            0.41
      3.57           -0.91            0.42
      3.58           -0.91            0.43
      3.59           -0.90            0.44
      3.60           -0.90            0.45
      3.61           -0.89            0.46
      3.62           -0.89            0.46
      3.63           -0.88            0.47
      3.64           -0.88            0.48
      3.65           -0.87            0.49
      3.66           -0.87            0.50
      3.67           -0.86            0.51
      3.68           -0.86            0.52
      3.69           -0.85            0.53
      3.70           -0.85            0.53
      3.71           -0.84            0.54
      3.72           -0.84            0.55
      3.73           -0.83            0.56
      3.74           -0.83            0.57
      3.75           -0.82            0.58
      3.76           -0.81            0.58
      3.77           -0.81            0.59
      3.78           -0.80            0.60
      3.79           -0.80            0.61
      3.80           -0.79            0.62
      3.81           -0.78            0.62
      3.82           -0.78            0.63
      3.83           -0.77            0.64
      3.84           -0.77            0.65
      3.85           -0.76            0.65
      3.86           -0.75            0.66
      3.87           -0.75            0.67
      3.88           -0.74            0.68
      3.89           -0.73            0.68
      3.90           -0.73            0.69
      3.91           -0.72            0.70
      3.92           -0.71            0.71
      3.93           -0.70            0.71
      3.94           -0.70            0.72
      3.95           -0.69            0.73
      3.96           -0.68            0.73
      3.97           -0.68            0.74
      3.98           -0.67            0.75
      3.99           -0.66            0.75
      4.00           -0.65            0.76
      4.01           -0.65            0.77
      4.02           -0.64            0.77
      4.03           -0.63            0.78
      4.04           -0.62            0.79
      4.05           -0.62            0.79
      4.06           -0.61            0.80
      4.07           -0.60            0.80
      4.08           -0.59            0.81
      4.09           -0.58            0.82
      4.10           -0.57            0.82
      4.11           -0.57            0.83
      4.12           -0.56            0.83
      4.13           -0.55            0.84
      4.14           -0.54            0.84
      4.15           -0.53            0.85
      4.16           -0.52            0.85
      4.17           -0.52            0.86
      4.18           -0.51            0.86
      4.19           -0.50            0.87
      4.20           -0.49            0.87
      4.21           -0.48            0.88
      4.22           -0.47            0.88
      4.23           -0.46            0.89
      4.24           -0.46            0.89
      4.25           -0.45            0.90
      4.26           -0.44            0.90
      4.27           -0.43            0.91
      4.28           -0.42            0.91
      4.29           -0.41            0.91
      4.30           -0.40            0.92
      4.31           -0.39            0.92
      4.32           -0.38            0.93
      4.33           -0.37            0.93
      4.34           -0.36            0.93
      4.35           -0.35            0.94
      4.36           -0.35            0.94
      4.37           -0.34            0.94
      4.38           -0.33            0.95
      4.39           -0.32            0.95
      4.40           -0.31            0.95
      4.41           -0.30            0.96
      4.42           -0.29            0.96
      4.43           -0.28            0.96
      4.44           -0.27            0.96
      4.45           -0.26            0.97
      4.46           -0.25            0.97
      4.47           -0.24            0.97
      4.48           -0.23            0.97
      4.49           -0.22            0.98
      4.50           -0.21            0.98
      4.51           -0.20            0.98
      4.52           -0.19            0.98
      4.53           -0.18            0.98
      4.54           -0.17            0.99
      4.55           -0.16            0.99
      4.56           -0.15            0.99
      4.57           -0.14            0.99
      4.58           -0.13            0.99
      4.59           -0.12            0.99
      4.60           -0.11            0.99
      4.61           -0.10            1.00
      4.62           -0.09            1.00
      4.63           -0.08            1.00
      4.64           -0.07            1.00
      4.65           -0.06            1.00
      4.66           -0.05            1.00
      4.67           -0.04            1.00
      4.68           -0.03            1.00
      4.69           -0.02            1.00
      4.70           -0.01            1.00
      4.71           -0.00            1.00
      4.72            0.01            1.00
      4.73            0.02            1.00
      4.74            0.03            1.00
      4.75            0.04            1.00
      4.76            0.05            1.00
      4.77            0.06            1.00
      4.78            0.07            1.00
      4.79            0.08            1.00
      4.80            0.09            1.00
      4.81            0.10            0.99
      4.82            0.11            0.99
      4.83            0.12            0.99
      4.84            0.13            0.99
      4.85            0.14            0.99
      4.86            0.15            0.99
      4.87            0.16            0.99
      4.88            0.17            0.99
      4.89            0.18            0.98
      4.90            0.19            0.98
      4.91            0.20            0.98
      4.92            0.21            0.98
      4.93            0.22            0.98
      4.94            0.23            0.97
      4.95            0.24            0.97
      4.96            0.25            0.97
      4.97            0.25            0.97
      4.98            0.26            0.96
      4.99            0.27            0.96
        x                cos(x)         cos'(x)
      1.00            0.54           -0.84
      1.01            0.53           -0.84
      1.02            0.52           -0.85
      1.03            0.51           -0.85
      1.04            0.51           -0.86
      1.05            0.50           -0.86
      1.06            0.49           -0.87
      1.07            0.48           -0.87
      1.08            0.47           -0.88
      1.09            0.46           -0.88
      1.10            0.45           -0.89
      1.11            0.44           -0.89
      1.12            0.44           -0.90
      1.13            0.43           -0.90
      1.14            0.42           -0.91
      1.15            0.41           -0.91
      1.16            0.40           -0.91
      1.17            0.39           -0.92
      1.18            0.38           -0.92
      1.19            0.37           -0.93
      1.20            0.36           -0.93
      1.21            0.35           -0.93
      1.22            0.34           -0.94
      1.23            0.33           -0.94
      1.24            0.32           -0.94
      1.25            0.32           -0.95
      1.26            0.31           -0.95
      1.27            0.30           -0.95
      1.28            0.29           -0.96
      1.29            0.28           -0.96
      1.30            0.27           -0.96
      1.31            0.26           -0.96
      1.32            0.25           -0.97
      1.33            0.24           -0.97
      1.34            0.23           -0.97
      1.35            0.22           -0.97
      1.36            0.21           -0.98
      1.37            0.20           -0.98
      1.38            0.19           -0.98
      1.39            0.18           -0.98
      1.40            0.17           -0.98
      1.41            0.16           -0.99
      1.42            0.15           -0.99
      1.43            0.14           -0.99
      1.44            0.13           -0.99
      1.45            0.12           -0.99
      1.46            0.11           -0.99
      1.47            0.10           -0.99
      1.48            0.09           -1.00
      1.49            0.08           -1.00
      1.50            0.07           -1.00
      1.51            0.06           -1.00
      1.52            0.05           -1.00
      1.53            0.04           -1.00
      1.54            0.03           -1.00
      1.55            0.02           -1.00
      1.56            0.01           -1.00
      1.57            0.00           -1.00
      1.58           -0.01           -1.00
      1.59           -0.02           -1.00
      1.60           -0.03           -1.00
      1.61           -0.04           -1.00
      1.62           -0.05           -1.00
      1.63           -0.06           -1.00
      1.64           -0.07           -1.00
      1.65           -0.08           -1.00
      1.66           -0.09           -1.00
      1.67           -0.10           -1.00
      1.68           -0.11           -0.99
      1.69           -0.12           -0.99
      1.70           -0.13           -0.99
      1.71           -0.14           -0.99
      1.72           -0.15           -0.99
      1.73           -0.16           -0.99
      1.74           -0.17           -0.99
      1.75           -0.18           -0.98
      1.76           -0.19           -0.98
      1.77           -0.20           -0.98
      1.78           -0.21           -0.98
      1.79           -0.22           -0.98
      1.80           -0.23           -0.97
      1.81           -0.24           -0.97
      1.82           -0.25           -0.97
      1.83           -0.26           -0.97
      1.84           -0.27           -0.97
      1.85           -0.28           -0.96
      1.86           -0.29           -0.96
      1.87           -0.29           -0.96
      1.88           -0.30           -0.95
      1.89           -0.31           -0.95
      1.90           -0.32           -0.95
      1.91           -0.33           -0.94
      1.92           -0.34           -0.94
      1.93           -0.35           -0.94
      1.94           -0.36           -0.93
      1.95           -0.37           -0.93
      1.96           -0.38           -0.93
      1.97           -0.39           -0.92
      1.98           -0.40           -0.92
      1.99           -0.41           -0.92
      2.00           -0.42           -0.91
      2.01           -0.43           -0.91
      2.02           -0.43           -0.90
      2.03           -0.44           -0.90
      2.04           -0.45           -0.89
      2.05           -0.46           -0.89
      2.06           -0.47           -0.89
      2.07           -0.48           -0.88
      2.08           -0.49           -0.88
      2.09           -0.50           -0.87
      2.10           -0.50           -0.87
      2.11           -0.51           -0.86
      2.12           -0.52           -0.86
      2.13           -0.53           -0.85
      2.14           -0.54           -0.85
      2.15           -0.55           -0.84
      2.16           -0.56           -0.83
      2.17           -0.56           -0.83
      2.18           -0.57           -0.82
      2.19           -0.58           -0.82
      2.20           -0.59           -0.81
      2.21           -0.60           -0.81
      2.22           -0.60           -0.80
      2.23           -0.61           -0.79
      2.24           -0.62           -0.79
      2.25           -0.63           -0.78
      2.26           -0.64           -0.77
      2.27           -0.64           -0.77
      2.28           -0.65           -0.76
      2.29           -0.66           -0.76
      2.30           -0.67           -0.75
      2.31           -0.67           -0.74
      2.32           -0.68           -0.74
      2.33           -0.69           -0.73
      2.34           -0.70           -0.72
      2.35           -0.70           -0.71
      2.36           -0.71           -0.71
      2.37           -0.72           -0.70
      2.38           -0.72           -0.69
      2.39           -0.73           -0.69
      2.40           -0.74           -0.68
      2.41           -0.74           -0.67
      2.42           -0.75           -0.66
      2.43           -0.76           -0.66
      2.44           -0.76           -0.65
      2.45           -0.77           -0.64
      2.46           -0.78           -0.63
      2.47           -0.78           -0.63
      2.48           -0.79           -0.62
      2.49           -0.80           -0.61
      2.50           -0.80           -0.60
      2.51           -0.81           -0.59
      2.52           -0.81           -0.59
      2.53           -0.82           -0.58
      2.54           -0.82           -0.57
      2.55           -0.83           -0.56
      2.56           -0.84           -0.55
      2.57           -0.84           -0.55
      2.58           -0.85           -0.54
      2.59           -0.85           -0.53
      2.60           -0.86           -0.52
      2.61           -0.86           -0.51
      2.62           -0.87           -0.50
      2.63           -0.87           -0.49
      2.64           -0.88           -0.49
      2.65           -0.88           -0.48
      2.66           -0.89           -0.47
      2.67           -0.89           -0.46
      2.68           -0.90           -0.45
      2.69           -0.90           -0.44
      2.70           -0.90           -0.43
      2.71           -0.91           -0.42
      2.72           -0.91           -0.41
      2.73           -0.92           -0.40
      2.74           -0.92           -0.40
      2.75           -0.92           -0.39
      2.76           -0.93           -0.38
      2.77           -0.93           -0.37
      2.78           -0.94           -0.36
      2.79           -0.94           -0.35
      2.80           -0.94           -0.34
      2.81           -0.95           -0.33
      2.82           -0.95           -0.32
      2.83           -0.95           -0.31
      2.84           -0.95           -0.30
      2.85           -0.96           -0.29
      2.86           -0.96           -0.28
      2.87           -0.96           -0.27
      2.88           -0.97           -0.26
      2.89           -0.97           -0.25
      2.90           -0.97           -0.24
      2.91           -0.97           -0.23
      2.92           -0.98           -0.22
      2.93           -0.98           -0.21
      2.94           -0.98           -0.21
      2.95           -0.98           -0.20
      2.96           -0.98           -0.19
      2.97           -0.99           -0.18
      2.98           -0.99           -0.17
      2.99           -0.99           -0.16
      3.00           -0.99           -0.15
      3.01           -0.99           -0.14
      3.02           -0.99           -0.13
      3.03           -0.99           -0.12
      3.04           -0.99           -0.11
      3.05           -1.00           -0.10
      3.06           -1.00           -0.09
      3.07           -1.00           -0.08
      3.08           -1.00           -0.07
      3.09           -1.00           -0.06
      3.10           -1.00           -0.05
      3.11           -1.00           -0.04
      3.12           -1.00           -0.03
      3.13           -1.00           -0.02
      3.14           -1.00           -0.01
      3.15           -1.00            0.00
      3.16           -1.00            0.01
      3.17           -1.00            0.02
      3.18           -1.00            0.03
      3.19           -1.00            0.04
      3.20           -1.00            0.05
      3.21           -1.00            0.06
      3.22           -1.00            0.07
      3.23           -1.00            0.08
      3.24           -1.00            0.09
      3.25           -0.99            0.10
      3.26           -0.99            0.11
      3.27           -0.99            0.12
      3.28           -0.99            0.13
      3.29           -0.99            0.14
      3.30           -0.99            0.15
      3.31           -0.99            0.16
      3.32           -0.98            0.17
      3.33           -0.98            0.18
      3.34           -0.98            0.19
      3.35           -0.98            0.20
      3.36           -0.98            0.21
      3.37           -0.97            0.22
      3.38           -0.97            0.23
      3.39           -0.97            0.24
      3.40           -0.97            0.25
      3.41           -0.96            0.26
      3.42           -0.96            0.27
      3.43           -0.96            0.28
      3.44           -0.96            0.29
      3.45           -0.95            0.30
      3.46           -0.95            0.31
      3.47           -0.95            0.32
      3.48           -0.94            0.33
      3.49           -0.94            0.34
      3.50           -0.94            0.35
      3.51           -0.93            0.36
      3.52           -0.93            0.36
      3.53           -0.93            0.37
      3.54           -0.92            0.38
      3.55           -0.92            0.39
      3.56           -0.91            0.40
      3.57           -0.91            0.41
      3.58           -0.91            0.42
      3.59           -0.90            0.43
      3.60           -0.90            0.44
      3.61           -0.89            0.45
      3.62           -0.89            0.46
      3.63           -0.88            0.46
      3.64           -0.88            0.47
      3.65           -0.87            0.48
      3.66           -0.87            0.49
      3.67           -0.86            0.50
      3.68           -0.86            0.51
      3.69           -0.85            0.52
      3.70           -0.85            0.53
      3.71           -0.84            0.53
      3.72           -0.84            0.54
      3.73           -0.83            0.55
      3.74           -0.83            0.56
      3.75           -0.82            0.57
      3.76           -0.81            0.58
      3.77           -0.81            0.58
      3.78           -0.80            0.59
      3.79           -0.80            0.60
      3.80           -0.79            0.61
      3.81           -0.78            0.62
      3.82           -0.78            0.62
      3.83           -0.77            0.63
      3.84           -0.77            0.64
      3.85           -0.76            0.65
      3.86           -0.75            0.65
      3.87           -0.75            0.66
      3.88           -0.74            0.67
      3.89           -0.73            0.68
      3.90           -0.73            0.68
      3.91           -0.72            0.69
      3.92           -0.71            0.70
      3.93           -0.70            0.71
      3.94           -0.70            0.71
      3.95           -0.69            0.72
      3.96           -0.68            0.73
      3.97           -0.68            0.73
      3.98           -0.67            0.74
      3.99           -0.66            0.75
      4.00           -0.65            0.75
      4.01           -0.65            0.76
      4.02           -0.64            0.77
      4.03           -0.63            0.77
      4.04           -0.62            0.78
      4.05           -0.62            0.79
      4.06           -0.61            0.79
      4.07           -0.60            0.80
      4.08           -0.59            0.80
      4.09           -0.58            0.81
      4.10           -0.57            0.82
      4.11           -0.57            0.82
      4.12           -0.56            0.83
      4.13           -0.55            0.83
      4.14           -0.54            0.84
      4.15           -0.53            0.84
      4.16           -0.52            0.85
      4.17           -0.52            0.85
      4.18           -0.51            0.86
      4.19           -0.50            0.86
      4.20           -0.49            0.87
      4.21           -0.48            0.87
      4.22           -0.47            0.88
      4.23           -0.46            0.88
      4.24           -0.46            0.89
      4.25           -0.45            0.89
      4.26           -0.44            0.90
      4.27           -0.43            0.90
      4.28           -0.42            0.91
      4.29           -0.41            0.91
      4.30           -0.40            0.91
      4.31           -0.39            0.92
      4.32           -0.38            0.92
      4.33           -0.37            0.93
      4.34           -0.36            0.93
      4.35           -0.35            0.93
      4.36           -0.35            0.94
      4.37           -0.34            0.94
      4.38           -0.33            0.94
      4.39           -0.32            0.95
      4.40           -0.31            0.95
      4.41           -0.30            0.95
      4.42           -0.29            0.96
      4.43           -0.28            0.96
      4.44           -0.27            0.96
      4.45           -0.26            0.96
      4.46           -0.25            0.97
      4.47           -0.24            0.97
      4.48           -0.23            0.97
      4.49           -0.22            0.97
      4.50           -0.21            0.98
      4.51           -0.20            0.98
      4.52           -0.19            0.98
      4.53           -0.18            0.98
      4.54           -0.17            0.98
      4.55           -0.16            0.99
      4.56           -0.15            0.99
      4.57           -0.14            0.99
      4.58           -0.13            0.99
      4.59           -0.12            0.99
      4.60           -0.11            0.99
      4.61           -0.10            0.99
      4.62           -0.09            1.00
      4.63           -0.08            1.00
      4.64           -0.07            1.00
      4.65           -0.06            1.00
      4.66           -0.05            1.00
      4.67           -0.04            1.00
      4.68           -0.03            1.00
      4.69           -0.02            1.00
      4.70           -0.01            1.00
      4.71           -0.00            1.00
      4.72            0.01            1.00
      4.73            0.02            1.00
      4.74            0.03            1.00
      4.75            0.04            1.00
      4.76            0.05            1.00
      4.77            0.06            1.00
      4.78            0.07            1.00
      4.79            0.08            1.00
      4.80            0.09            1.00
      4.81            0.10            1.00
      4.82            0.11            0.99
      4.83            0.12            0.99
      4.84            0.13            0.99
      4.85            0.14            0.99
      4.86            0.15            0.99
      4.87            0.16            0.99
      4.88            0.17            0.99
      4.89            0.18            0.99
      4.90            0.19            0.98
      4.91            0.20            0.98
      4.92            0.21            0.98
      4.93            0.22            0.98
      4.94            0.23            0.98
      4.95            0.24            0.97
      4.96            0.25            0.97
      4.97            0.25            0.97
      4.98            0.26            0.97
      4.99            0.27            0.96
